Compound Name	SMILES	InChi	InChiKey	Strains	Protein	Reference	Protein ID from OG database	NCBI ID
1,4-Dibromobutane	C(CCBr)CBr	InChI=1S/C4H8Br2/c5-3-1-2-4-6/h1-4H2	ULTHEAFYOOPTTB-UHFFFAOYSA-N	Dehalococcoides mccartyi 195	TceA	PMID: 11097881	DET0079_tceA	WP_010935886.1
1,5-Dichloropentane	C(CCCl)CCCl	InChI=1S/C5H10Cl2/c6-4-2-1-3-5-7/h1-5H2	LBKDGROORAKTLC-UHFFFAOYSA-N	Dehalococcoides mccartyi 195	TceA	PMID: 11097881	DET0079_tceA	WP_010935886.1
1,5-Dibromopentane	C(CCBr)CCBr	InChI=1S/C5H10Br2/c6-4-2-1-3-5-7/h1-5H2	IBODDUNKEPPBKW-UHFFFAOYSA-N	Dehalococcoides mccartyi 195	TceA	PMID: 11097881	DET0079_tceA	WP_010935886.1
5-Bromo-1-pentene	C=CCCCBr	InChI=1S/C5H9Br/c1-2-3-4-5-6/h2H,1,3-5H2	LPNANKDXVBMDKE-UHFFFAOYSA-N	Dehalococcoides mccartyi 195	TceA	PMID: 11097881	DET0079_tceA	WP_010935886.1
1-Bromo-2-methylpropane	CC(C)CBr	InChI=1S/C4H9Br/c1-4(2)3-5/h4H,3H2,1-2H3	HLVFKOKELQSXIQ-UHFFFAOYSA-N	Dehalococcoides mccartyi 195	TceA	PMID: 11097881	DET0079_tceA	WP_010935886.1
1-Bromo-3-methylbutane	CC(C)CCBr	InChI=1S/C5H11Br/c1-5(2)3-4-6/h5H,3-4H2,1-2H3	YXZFFTJAHVMMLF-UHFFFAOYSA-N	Dehalococcoides mccartyi 195	TceA	PMID: 11097881	DET0079_tceA	WP_010935886.1
3-Chloro-2-methylpropene	CC(=C)CCl	InChI=1S/C4H7Cl/c1-4(2)3-5/h1,3H2,2H3	OHXAOPZTJOUYKM-UHFFFAOYSA-N	Dehalococcoides mccartyi 195	TceA	PMID: 11097881	DET0079_tceA	WP_010935886.1
Vinyl Chloride	C=CCl	InChI=1S/C2H3Cl/c1-2-3/h2H,1H2	BZHJMEDXRYGGRV-UHFFFAOYSA-N	Dehalococcoides mccartyi BAV1	BvcA	PMID: 2320441	BAV1_0847	WP_010935886.1
cis-1,2-Dichloroethylene	C(=CCl)Cl	InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H/b2-1-	KFUSEUYYWQURPO-UPHRSURJSA-N	Dehalococcoides mccartyi BAV1	BvcA	PMID: 2320441	BAV1_0847	WP_010935886.1
1,2-Dichloroethane	C(CCl)Cl	InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2	WSLDOOZREJYCGB-UHFFFAOYSA-N	Dehalococcoides mccartyi BAV1	BvcA	PMID: 2320441	BAV1_0847	WP_010935886.1
